URL,Size,Threads,KeepAlive,Real,User,System
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.23,0.28,0.58
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.60,0.29,0.58
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,8.64,0.31,0.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,6.66,0.30,0.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.47,1.00,2.21
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,11.89,0.98,2.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.08,0.91,2.36
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.97,0.97,2.39
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,16.42,0.97,2.30
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.05,0.96,2.31
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.14,1.01,2.30
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.54,0.90,2.45
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.53,0.94,2.31
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,16.27,0.91,2.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,18.95,1.94,4.62
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,17.74,1.72,4.83
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,20.92,1.79,4.63
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,21.97,1.82,4.64
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,19.78,1.71,4.73
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,20.01,1.78,4.66
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,21.21,1.79,4.73
