URL,Size,Threads,KeepAlive,Real,User,System
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.82,0.05,0.53
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,6.66,0.05,0.51
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.67,0.05,0.51
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,6.19,0.03,0.53
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,11.43,0.20,2.17
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,13.75,0.19,2.09
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,12.13,0.24,2.25
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,15.72,0.23,2.22
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,14.40,0.20,2.24
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,19.58,0.21,2.20
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,12.30,0.24,2.26
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,13.79,0.21,2.16
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,12.01,0.22,2.21
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,1,15.27,0.19,2.19
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,21.89,0.42,4.35
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,19.01,0.39,4.50
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,20.56,0.38,4.38
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,20.22,0.37,4.53
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,23.19,0.36,4.23
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,18.31,0.43,4.30
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,21.43,0.41,4.28
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,20.61,0.35,4.33
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,18.00,0.41,4.52
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,1,18.98,0.42,4.36
