[centos@ip-172-31-42-148 data]$ ./threads_download.sh https://s3.amazonaws.com/opendap.test/MVI_1803.MOV 10 stuff
URL,Size,Threads,Real,User,System
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,1.53,0.32,0.11
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.52,0.32,0.11
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.45,0.31,0.12
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,1.05,0.32,0.13
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.48,0.31,0.13
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,1.00,0.32,0.12
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.43,0.34,0.11
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.06,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.37,0.06,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.35,0.07,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.06,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.32,0.08,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.31,0.07,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.07,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.06,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.07,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.07,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.31,0.11,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.31,0.11,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.31,0.11,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.30,0.12,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.31,0.11,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.73,0.10,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.33,0.10,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.31,0.10,0.10
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.36,0.10,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,2.23,0.10,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.34,0.14,0.12
